Area;BHK;Bathroom;Furnishing;Locality;Parking;Price;Status;Transaction;Type;Per_Sqft;city
914.9315;2;2;Semi-Furnished;Rohini Sector 5;1;12000000;Ready_to_move;Resale;Builder_Floor;6154;Seattle
1100;3;3;Furnished;Rohini Sector 20;1;7000000;Ready_to_move;New_Property;Builder_Floor;6364;Federal Way
800;3;2;Semi-Furnished;Rohini Sector 25;1;7000000;Ready_to_move;Resale;Builder_Floor;8750;Seattle
500;1;1;Semi-Furnished;Sanskriti Apartment, Rohini Sector 28;1;3400000;Ready_to_move;Resale;Apartment;8750;Kirkland
28;2;2;Furnished;Rohini Sector 25;1;5000000;Ready_to_move;New_Property;Apartment;8750;Issaquah
2160;4;4;Furnished;Rohini Sector 19;1;21000000;Ready_to_move;New_Property;Builder_Floor;9722;Seattle
900;2;2;Semi-Furnished;Amar Colony, Lajpat Nagar;2;13000000;Ready_to_move;New_Property;Builder_Floor;14444;Renton
1000;3;3;Semi-Furnished;Vikram Vihar, Lajpat Nagar;1;22000000;Ready_to_move;New_Property;Builder_Floor;22000;Seattle
900;2;2;Semi-Furnished;Lajpat Nagar 2;1;15800000;Ready_to_move;New_Property;Builder_Floor;22000;Redmond
2925;4;4;Unfurnished;Lajpat Nagar 3;2;57500000;Ready_to_move;New_Property;Builder_Floor;22000;Issaquah
900;2;2;Unfurnished;Lajpat Nagar 1;2;10000000;Ready_to_move;Resale;Builder_Floor;22000;Sammamish
1600;3;3;Unfurnished;Lajpat Nagar 3;2;30000000;Ready_to_move;New_Property;Builder_Floor;22000;Seattle
1143;3;3;Unfurnished;Vikram Vihar, Lajpat Nagar;2;22000000;Ready_to_move;New_Property;Builder_Floor;22000;Carnation
1150;3;3;Semi-Furnished;Vikram Vihar, Lajpat Nagar;2;24000000;Ready_to_move;New_Property;Builder_Floor;22000;Bothell
1500;3;3;Semi-Furnished;Lajpat Nagar 3;1;31500000;Ready_to_move;Resale;Builder_Floor;22000;Bellevue
850;2;2;Semi-Furnished;Lajpat Nagar 2;1;14600000;Ready_to_move;Resale;Builder_Floor;22000;Auburn
8000;4;5;Semi-Furnished;Lajpat Nagar;1;240000000;Ready_to_move;New_Property;Builder_Floor;22000;Snoqualmie
890;2;2;Semi-Furnished;Lajpat Nagar 1;1;8300000;Ready_to_move;Resale;Builder_Floor;22000;Seattle
1100;3;3;Unfurnished;Vikram Vihar, Lajpat Nagar;1;22500000;Ready_to_move;New_Property;Builder_Floor;22000;Seattle
850;2;1;Semi-Furnished;Siddhartha Heights, Dwarka Sector 24;2;1900000;Ready_to_move;New_Property;Apartment;2235;North Bend
1350;3;2;Unfurnished;MTNL Employees House Welfare Society, Dwarka Sector 24;1;5130000;Ready_to_move;New_Property;Apartment;3800;Renton
1387;4;4;Unfurnished;Delhi Homes Yojana, Dwarka Sector 24;1;5890000;Ready_to_move;New_Property;Apartment;4247;Kent
1050;3;2;Unfurnished;The Elite Spire, Dwarka Sector 21;1;3700000;Ready_to_move;New_Property;Apartment;3524;Renton
1500;3;2;Unfurnished;Kunj Vihar Apartment, Dwarka Sector 12;1;17400000;Ready_to_move;Resale;Apartment;3524;Seattle
1200;3;3;Semi-Furnished;Ashirwad Apartments, Dwarka Sector 12;1;15500000;Ready_to_move;Resale;Apartment;3524;Issaquah
700;2;1;Semi-Furnished;MTNL Employees House Welfare Society, Dwarka Sector 24;1;2400000;Almost_ready;New_Property;Apartment;3524;Snoqualmie
1700;3;2;Semi-Furnished;Sunny Valley Apartments, Dwarka;1;17200000;Ready_to_move;Resale;Apartment;3524;Redmond
1550;3;2;Furnished;Shri Agrasen Apartment, Dwarka Sector 7;2;14200000;Ready_to_move;Resale;Apartment;3524;Renton
1400;3;3;Semi-Furnished;Chopra Apartment, Dwarka Sector 23;1;13500000;Ready_to_move;Resale;Apartment;3524;Auburn
1900;4;4;Semi-Furnished;Mohinder Apartments, Dwarka Sector 12;1;30000000;Ready_to_move;Resale;Apartment;3524;Seattle
2160;4;3;Unfurnished;Chander Lok Apartment, Dwarka Sector 19;1;21000000;Ready_to_move;Resale;Apartment;3524;Seattle
1700;4;3;Unfurnished;Neelachal, Dwarka Sector 5;1;20500000;Ready_to_move;Resale;Apartment;3524;Sammamish
1850;3;4;Semi-Furnished;Dwarka;1;24000000;Ready_to_move;Resale;Apartment;3524;Kirkland
1800;4;2;Semi-Furnished;MeeraBai Apartment, Dwarka Sector 5;1;16500000;Ready_to_move;Resale;Apartment;3524;Seattle
1620;3;2;Semi-Furnished;Crescent Apartments, Dwarka Sector 18;1;14900000;Ready_to_move;Resale;Apartment;3524;Seattle
1800;4;3;Furnished;Ashoka Enclave Apartment, Dwarka Sector 11;1;19200000;Ready_to_move;Resale;Apartment;3524;Sammamish
1540;3;3;Semi-Furnished;Nav Kairali Apartment, Dwarka Sector 3;1;14500000;Ready_to_move;Resale;Apartment;3524;Bellevue
1600;3;3;Semi-Furnished;Ashirwad Apartments, Dwarka;1;15600000;Ready_to_move;Resale;Apartment;3524;Issaquah
1400;3;2;Unfurnished;Indraprastha Apartment, Dwarka Sector 12;1;11400000;Ready_to_move;Resale;Apartment;3524;Issaquah
2300;4;4;Furnished;Mohinder Apartments, Dwarka;1;31500000;Ready_to_move;Resale;Apartment;3524;Sammamish
1560;3;2;Furnished;Ashoka Apartments, Dwarka Sector 12;2;15800000;Ready_to_move;Resale;Apartment;3524;Seattle
1500;3;3;Semi-Furnished;Karuna Vihar Apartment, Dwarka;2;16000000;Ready_to_move;Resale;Apartment;3524;Issaquah
1540;3;3;Semi-Furnished;Nav Kairali Apartment, Dwarka Sector 3;1;14500000;Ready_to_move;Resale;Apartment;3524;Kirkland
1050;2;2;Unfurnished;LNT Apartments, Dwarka;1;10500000;Ready_to_move;Resale;Apartment;3524;Shoreline
1800;3;2;Semi-Furnished;Dwarka Sector 4;1;14800000;Ready_to_move;Resale;Apartment;3524;Seattle
400;1;1;Semi-Furnished;Dwarka Sector 3 carpet area 400 sqft status Ready to Move floor 1 out of 4 floors transaction New Property furnishing Semi-Furnished facing West overlooking Main Road bathroom 1 balcony 1 ownership Freehold Newly Constructed Property 1BHK freehold property , reserved parking, ample space for visitor parking, bathrooms with modern facilities, complete light in all room, wooden wardrobes in bedrooms, separate electric & water meter connection, separate water tank at roof, electronic door lock system with intercom facility, wall to wall POP work, fall ceiling work in all rooms, royal paint work in all rooms, 24X7 running water, branded electric fittings, modular kitchen with electronic chimney, marble vitrified tile flooring, near to metro station, well connected to main road ect. 80 to 90 home loan available. Ready to move read more Contact Agent View Phone No. Share Feedback Agent S.B. Associates 4000+ Buyers Served;1;1850000;Ready_to_move;New_Property;Builder_Floor;3524;Kirkland
1150;3;2;Semi-Furnished;Dwarka Sector 16B;1;6800000;Ready_to_move;New_Property;Builder_Floor;3524;Seattle
1525;3;3;Semi-Furnished;Chopra Apartment, Dwarka Sector 23;1;14200000;Ready_to_move;Resale;Apartment;3524;Des Moines
1500;3;3;Semi-Furnished;Lajpat Nagar 3;1;40000000;Ready_to_move;Resale;Builder_Floor;26666;Bellevue
2880;4;5;Unfurnished;Lajpat Nagar 3;1;46000000;Ready_to_move;New_Property;Builder_Floor;15972;Auburn
2700;4;4;Semi-Furnished;Lajpat Nagar 3;2;55000000;Ready_to_move;Resale;Builder_Floor;183333;Seattle
1400;3;3;Unfurnished;Lajpat Nagar 3;1;24500000;Ready_to_move;Resale;Builder_Floor;183333;Snoqualmie
1800;3;3;Unfurnished;Lajpat Nagar 3;1;24500000;Ready_to_move;Resale;Apartment;183333;Bellevue
1400;3;3;Semi-Furnished;Lajpat Nagar 3;1;32500000;Ready_to_move;New_Property;Builder_Floor;183333;Redmond
1000;2;2;Furnished;Lajpat Nagar 3;1;20000000;Ready_to_move;Resale;Apartment;20000;Seattle
8000;4;5;Semi-Furnished;Lajpat Nagar;1;240000000;Ready_to_move;New_Property;Builder_Floor;20000;Federal Way
1000;2;2;Furnished;Lajpat Nagar 3;1;20000000;Ready_to_move;Resale;Apartment;20000;Seattle
1700;3;3;Furnished;Lajpat Nagar 3;2;19000000;Ready_to_move;Resale;Builder_Floor;20000;Maple Valley
1600;3;3;Unfurnished;Lajpat Nagar 3;2;26000000;Ready_to_move;Resale;Builder_Floor;20000;Duvall
1350;3;3;Unfurnished;Lajpat Nagar 3;1;21000000;Ready_to_move;Resale;Builder_Floor;15556;Issaquah
1700;3;3;Semi-Furnished;Lajpat Nagar 3;1;27500000;Ready_to_move;Resale;Builder_Floor;16176;Seattle
1400;3;3;Semi-Furnished;Lajpat Nagar 3;2;32500000;Ready_to_move;New_Property;Builder_Floor;16176;Kirkland
1450;3;3;Semi-Furnished;Lajpat Nagar 3;1;45000000;Ready_to_move;New_Property;Builder_Floor;16176;Seattle
1350;3;3;Semi-Furnished;Lajpat Nagar 3;1;21000000;Ready_to_move;Resale;Builder_Floor;15556;Burien
1700;3;3;Unfurnished;Lajpat Nagar 3;1;28000000;Ready_to_move;Resale;Builder_Floor;15556;Bellevue
1600;3;3;Unfurnished;Lajpat Nagar 3;2;29500000;Ready_to_move;Resale;Builder_Floor;15556;Sammamish
1350;2;2;Furnished;Lajpat Nagar 2;4;12500000;Ready_to_move;Resale;Builder_Floor;9259;Renton
1500;3;3;Semi-Furnished;Lajpat Nagar 2;2;26000000;Ready_to_move;New_Property;Builder_Floor;9259;Seattle
750;2;2;Semi-Furnished;Vinoba Puri, Lajpat Nagar;2;11500000;Ready_to_move;New_Property;Builder_Floor;9259;Seattle
850;2;2;Semi-Furnished;Lajpat Nagar 2;2;14600000;Ready_to_move;Resale;Builder_Floor;9259;Seattle
1575;3;3;Semi-Furnished;Lajpat Nagar 2;1;25500000;Ready_to_move;New_Property;Builder_Floor;9259;Seattle
1675;3;3;Semi-Furnished;Lajpat Nagar 2;2;31000000;Ready_to_move;New_Property;Builder_Floor;18507;Auburn
1350;3;3;Semi-Furnished;Lajpat Nagar 2;2;22000000;Ready_to_move;Resale;Builder_Floor;18507;Renton
900;2;2;Semi-Furnished;Lajpat Nagar 2;2;13400000;Ready_to_move;New_Property;Builder_Floor;18507;Sammamish
1800;3;3;Semi-Furnished;Lajpat Nagar 2;2;35000000;Almost_ready;New_Property;Builder_Floor;18507;Renton
900;2;2;Furnished;Lajpat Nagar 2;2;11000000;Ready_to_move;Resale;Builder_Floor;18507;Des Moines
900;2;2;Unfurnished;Vinoba Puri, Lajpat Nagar;2;6300000;Ready_to_move;Resale;Builder_Floor;7000;Seattle
900;2;2;Furnished;Lajpat Nagar 2;2;12500000;Ready_to_move;Resale;Builder_Floor;7000;Seattle
800;2;2;Unfurnished;Lajpat Nagar 2;1;14500000;Ready_to_move;New_Property;Builder_Floor;7000;Redmond
1100;2;3;Semi-Furnished;Lajpat Nagar 2;1;22500000;Ready_to_move;New_Property;Builder_Floor;7000;Seattle
810;2;2;Semi-Furnished;Lajpat Nagar 2;1;15500000;Ready_to_move;New_Property;Builder_Floor;7000;Kirkland
1500;3;3;Semi-Furnished;Lajpat Nagar 2;1;26000000;Ready_to_move;New_Property;Builder_Floor;7000;Issaquah
900;2;2;Semi-Furnished;Lajpat Nagar 2;1;15800000;Ready_to_move;New_Property;Builder_Floor;7000;Seattle
825;2;2;Unfurnished;Lajpat Nagar 2;1;15000000;Ready_to_move;New_Property;Builder_Floor;7000;Issaquah
900;2;2;Unfurnished;Lajpat Nagar 2;1;13000000;Ready_to_move;New_Property;Builder_Floor;7000;Seattle
875;2;2;Unfurnished;Lajpat Nagar 2;1;15000000;Ready_to_move;New_Property;Builder_Floor;7000;Redmond
1350;3;3;Semi-Furnished;Lajpat Nagar 2;1;25000000;Ready_to_move;New_Property;Builder_Floor;7000;Issaquah
750;2;2;Semi-Furnished;Lajpat Nagar 2;1;16500000;Ready_to_move;New_Property;Builder_Floor;7000;Seattle
900;2;2;Unfurnished;Lajpat Nagar 2;1;10300000;Ready_to_move;New_Property;Builder_Floor;7000;Issaquah
1350;3;3;Semi-Furnished;Lajpat Nagar 2;1;26000000;Ready_to_move;New_Property;Builder_Floor;7000;Seattle
900;2;2;Unfurnished;Lajpat Nagar 2;1;11000000;Ready_to_move;Resale;Builder_Floor;7000;Renton
1800;3;3;Unfurnished;Lajpat Nagar 2;1;28500000;Ready_to_move;New_Property;Builder_Floor;7000;Issaquah
900;2;2;Unfurnished;Lajpat Nagar 2;1;11000000;Ready_to_move;Resale;Builder_Floor;7000;Issaquah
450;2;1;Unfurnished;Budh Vihar super area 50 sqyrd status Ready to Move floor Ground out of 2 floors transaction Resale furnishing Unfurnished facing East car parking 1 Open bathroom 1 balcony 2 ownership Freehold For Sale 2 BHK 50 yrd, 2 side open Ground Floor, First and Second Floor in H Block, Gali No. 04, Near Laxmi Narain Mandir, BudhVihar read more Contact Agent View Phone No. Share Feedback Agent Sahyog Properties 1000+ Buyers Served;1;3600000;Ready_to_move;Resale;Builder_Floor;72000;Seattle
100;3;2;Furnished;Budh Vihar Phase 1;1;4300000;Ready_to_move;New_Property;Builder_Floor;43000;Seattle
900;3;2;Semi-Furnished;Budh Vihar;1;4000000;Ready_to_move;Resale;Builder_Floor;4444;Redmond
500;2;2;Semi-Furnished;Budh Vihar Phase 1;1;1650000;Ready_to_move;Resale;Apartment;3300;Covington
450;1;1;Furnished;Budh Vihar;1;2000000;Ready_to_move;Resale;Builder_Floor;4444;Seattle
75;2;2;Semi-Furnished;Budh Vihar;1;3000000;Ready_to_move;Resale;Builder_Floor;40000;Seattle
270;2;1;Semi-Furnished;Budh Vihar Phase 1;1;1400000;Ready_to_move;Resale;Apartment;5185;Seattle
500;2;1;Semi-Furnished;Budh Vihar Phase 1;1;2000000;Ready_to_move;Resale;Builder_Floor;4000;Seattle
444;2;2;Unfurnished;Budh Vihar Phase 1;1;2000000;Ready_to_move;Resale;Apartment;4000;Des Moines
400;1;1;Furnished;Budh Vihar;1;2000000;Ready_to_move;Resale;Builder_Floor;4000;Issaquah
729;3;4;Furnished;Budh Vihar;1;2600000;Ready_to_move;Resale;Builder_Floor;3567;Seattle
4050;6;3;Furnished;Budh Vihar Phase 1;1;5100000;Ready_to_move;Resale;Builder_Floor;1259;Seattle
2400;6;4;Furnished;Budh Vihar Phase 2;1;6000000;Ready_to_move;Resale;Builder_Floor;2500;Seattle
450;2;2;Furnished;Budh Vihar;1;4000000;Ready_to_move;Resale;Builder_Floor;2500;Seattle
405;2;3;Furnished;Budh Vihar Phase 2;1;6200000;Ready_to_move;Resale;Builder_Floor;2500;Inglewood-Finn Hill
666;1;2;Furnished;Budh Vihar Phase 1;1;3500000;Ready_to_move;Resale;Builder_Floor;5255;Seattle
1000;2;2;Semi-Furnished;Saptrishi Apartment, Rohini Sector 23;1;7600000;Ready_to_move;Resale;Apartment;5255;Shoreline
1360;4;3;Semi-Furnished;Rohini Sector 24;1;13500000;Ready_to_move;New_Property;Builder_Floor;5255;Bellevue
1550;4;3;Semi-Furnished;Rohini Sector 24;1;12500000;Ready_to_move;New_Property;Builder_Floor;5255;Kenmore
850;3;2;Semi-Furnished;Rohini Sector 23;1;6500000;Ready_to_move;New_Property;Builder_Floor;5255;Bellevue
2170;4;4;Unfurnished;Rohini Sector 23;2;22000000;Ready_to_move;New_Property;Builder_Floor;5255;Des Moines
720;3;2;Semi-Furnished;Rohini Sector 23;1;6000000;Ready_to_move;New_Property;Builder_Floor;5255;Carnation
850;3;2;Semi-Furnished;Rohini Sector 23;1;7300000;Ready_to_move;New_Property;Builder_Floor;5255;Burien
950;3;2;Semi-Furnished;Rohini Sector 23;1;7600000;Ready_to_move;New_Property;Builder_Floor;5255;Kirkland
2300;4;4;Semi-Furnished;Rohini Sector 23;1;20000000;Ready_to_move;New_Property;Builder_Floor;5255;Kent
1300;4;4;Semi-Furnished;Rohini Sector 22;1;15000000;Ready_to_move;New_Property;Builder_Floor;5255;Shoreline
1100;3;2;Semi-Furnished;Rohini Sector 20;1;6200000;Ready_to_move;New_Property;Builder_Floor;5255;Kenmore
1030;3;2;Furnished;Rohini Sector 20;1;6200000;Ready_to_move;New_Property;Builder_Floor;5255;Renton
750;2;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;5000000;Ready_to_move;New_Property;Apartment;6667;Seattle
720;2;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;4700000;Ready_to_move;New_Property;Apartment;6528;Renton
800;2;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;5500000;Ready_to_move;New_Property;Apartment;6875;Kirkland
350;1;1;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;2000000;Ready_to_move;New_Property;Apartment;5714;Bellevue
980;3;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;7300000;Ready_to_move;New_Property;Apartment;7449;Kenmore
1600;4;3;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;13000000;Ready_to_move;New_Property;Apartment;8125;Seattle
1450;3;3;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;11500000;Ready_to_move;New_Property;Apartment;7931;Federal Way
445;2;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;2800000;Ready_to_move;New_Property;Apartment;7931;Bellevue
380;1;1;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;2200000;Ready_to_move;New_Property;Apartment;5789;Redmond
680;2;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;4400000;Ready_to_move;New_Property;Apartment;6471;Federal Way
1600;3;3;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;13500000;Ready_to_move;New_Property;Apartment;8438;Seattle
630;2;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;4100000;Ready_to_move;New_Property;Apartment;6508;Seattle
1500;3;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;12000000;Ready_to_move;New_Property;Apartment;8000;Seattle
550;2;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;3500000;Ready_to_move;New_Property;Apartment;6364;North Bend
2500;4;3;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;15000000;Ready_to_move;New_Property;Apartment;6000;Sammamish
2800;5;4;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;17500000;Ready_to_move;New_Property;Apartment;6250;Kenmore
300;1;1;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;1900000;Ready_to_move;New_Property;Apartment;6333;Bellevue
800;3;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;5500000;Ready_to_move;New_Property;Apartment;6875;Sammamish
1295;3;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;10000000;Ready_to_move;New_Property;Apartment;6875;Seattle
700;3;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;4700000;Ready_to_move;New_Property;Apartment;6714;Sammamish
350;1;1;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;2400000;Ready_to_move;New_Property;Builder_Floor;6714;Seattle
450;2;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;3800000;Ready_to_move;New_Property;Builder_Floor;6714;Redmond
2200;4;4;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;23000000;Ready_to_move;New_Property;Builder_Floor;6714;Bellevue
2300;4;4;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;24500000;Ready_to_move;New_Property;Builder_Floor;6714;Sammamish
1150;3;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;10000000;Ready_to_move;New_Property;Builder_Floor;6714;Seattle
800;3;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;5500000;Ready_to_move;New_Property;Builder_Floor;6714;Newcastle
850;3;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;7000000;Ready_to_move;New_Property;Builder_Floor;6714;Auburn
720;3;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;6500000;Ready_to_move;New_Property;Builder_Floor;6714;Newcastle
4688;5;4;Unfurnished;The Leela Sky Villas, Patel Nagar;1;135000000;Almost_ready;New_Property;Apartment;28797;Woodinville
750;2;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;5000000;Ready_to_move;New_Property;Apartment;6667;Shoreline
3901;4;4;Unfurnished;The Leela Sky Villas, Patel Nagar;1;93000000;Almost_ready;New_Property;Apartment;23840;Seattle
950;3;2;Furnished;Uttam Nagar Floors, Uttam Nagar;1;4370000;Ready_to_move;New_Property;Apartment;4600;Seattle
1000;3;2;Unfurnished;Virat Residency, Dwarka Mor;1;4620000;Ready_to_move;New_Property;Apartment;4620;Seattle
850;2;1;Semi-Furnished;Siddhartha Heights, Dwarka Sector 24;1;1900000;Ready_to_move;New_Property;Apartment;2235;Bellevue
2400;4;4;Semi-Furnished;Find Homes, Greater Kailash 2;1;70000000;Ready_to_move;New_Property;Apartment;2235;Auburn
1350;3;2;Unfurnished;MTNL Employees House Welfare Society, Dwarka Sector 24;1;5130000;Ready_to_move;New_Property;Apartment;3800;Seattle
540;2;2;Semi-Furnished;Adarsh Homes, Dwarka Mor;1;3000000;Ready_to_move;New_Property;Apartment;5000;Mercer Island
1387;4;4;Unfurnished;Delhi Homes Yojana, Dwarka Sector 24;1;5890000;Ready_to_move;New_Property;Apartment;4247;Federal Way
540;2;2;Semi-Furnished;Kushwaha Homes, Uttam Nagar;1;3300000;Ready_to_move;New_Property;Apartment;6111;Seattle
976;2;2;Furnished;Godrej South Estate, Okhla;1;24900000;Ready_to_move;New_Property;Apartment;25512;Seattle
1050;3;2;Unfurnished;The Elite Spire, Dwarka Sector 21;1;3700000;Ready_to_move;New_Property;Apartment;3524;Federal Way
2700;4;3;Semi-Furnished;APL Builder Floor, Greater Kailash 1;1;60000000;Ready_to_move;New_Property;Builder_Floor;22222;Seattle
1500;3;2;Unfurnished;Kunj Vihar Apartment, Dwarka Sector 12;1;17400000;Ready_to_move;Resale;Apartment;22222;Seattle
2900;5;5;Furnished;Janakpuri Block A3;1;51000000;Almost_ready;New_Property;Builder_Floor;22222;Seattle
5025;5;6;Unfurnished;Greater Kailash 2;4;170000000;Almost_ready;New_Property;Builder_Floor;22222;Renton
1000;3;2;Semi-Furnished;Partap Homes, Bhagwati Vihar, Uttam Nagar;1;5510000;Almost_ready;New_Property;Builder_Floor;22222;Seattle
1135;3;3;Furnished;The Amaryllis, Karol Bagh;2;25000000;Almost_ready;Resale;Apartment;22222;Bellevue
2306;3;3;Unfurnished;The Leela Sky Villas, Patel Nagar;1;57000000;Almost_ready;New_Property;Apartment;24718;Redmond
850;2;2;Semi-Furnished;Diamond Heights Multi Estate, Najafgarh;1;2940000;Almost_ready;New_Property;Apartment;24718;Seattle
1200;3;3;Semi-Furnished;Ashirwad Apartments, Dwarka Sector 12;1;15500000;Ready_to_move;Resale;Apartment;24718;Burien
1700;3;2;Semi-Furnished;Sunny Valley Apartments, Dwarka;1;17200000;Ready_to_move;Resale;Apartment;24718;Seattle
1800;4;3;Semi-Furnished;Vasant Vihar Builder Floor, Vasant Vihar;2;55000000;Ready_to_move;Resale;Builder_Floor;30556;Shoreline
1100;2;2;Semi-Furnished;Vasant Kunj;1;15000000;Ready_to_move;Resale;Apartment;30556;Redmond
